Title,Rating,Duration,Release Date,Genre,Synopsis,Director,Cast,Awards
Soul,,1h 40min,01 January 2021,"Animation, Comedy, Family, Fantasy, Musical",* Terms and Conditions Apply,Pete Docter,"Jamie Foxx, Tina Fey, Angela Bassett, Alice Braga, Phylicia Rashad, Daveed Diggs, Graham Norton, Rachel House, Ahmir-Khalib Thompson, Donnell Rawlings, Richard Ayoade, Cora Champommier, Margo Hall, Rhodessa Jones, Sakina Jaffrey, Wes Studi, Fortune Feimster, Calum Grant, Laura Mooney, Peggy Flood, Zenobia Shroff, June Squibb, Ochuwa Oghie, Jeannie Tirado, Catherine Cavadini, Dorian Lockett, Doris Burke, Ronnie Del Carmen, Esther Chae, Elisapie Isaac",N/A
Star Wars: The Last Jedi,10-12PG,2h 32min,15 December 2017,"Action-Adventure, Science Fiction",* Terms and Conditions Apply,Rian Johnson,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong'o, Domhnall Gleeson, Anthony Daniels",N/A
Star Wars: The Rise of Skywalker (Episode IX),,2h 22min,20 December 2019,"Action, Adventure, Science Fiction",* Terms and Conditions Apply,J.J. Abrams,"Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Anthony Daniels, Naomi Ackie, Domhnall Gleeson, Richard E. Grant, Lupita Nyong'o, Keri Russell, Joonas Suotamo, Kelly Marie Tran, Ian McDiarmid, Billy Dee Williams, Greg Grunberg, Shirley Henderson, Billie Lourd, Dominic Monaghan",N/A
Strange World,N/A,N/A,N/A,N/A,* Terms and Conditions Apply,"Don Hall, Qui Nguyen","Jake Gyllenhaal, Dennis Quaid, Jaboukie Young-White, Gabrielle Union, Lucy Liu",N/A
The Lion King (2019),PG,1h 58min,19 July 2019,"Action, Adventure, Coming of Age, Drama, Family, Musical",* Terms and Conditions Apply,Jon Favreau,"Donald Glover, Seth Rogen, Chiwetel Ejiofor, Alfre Woodard, Billy Eichner, John Kani, John Oliver, Florence Kasumba, Eric André, Keegan-Michael Key, JD McCrary, Shahadi Wright Joseph, Beyoncé Knowles-Carter, James Earl Jones, Penny Johnson Jerald, Amy Sedaris, Chance Bennett, Josh McCrary, Phil LaMarr, J. Lee",N/A
The Little Mermaid (2023),PG,2h 15min,26 May 2023,"Fantasy, Kids, Musical, Romance",* Terms and Conditions Apply,Rob Marshall,"Halle Bailey, Daveed Diggs, Awkwafina, Jonah Hauer-King, Javier Bardem, Melissa McCarthy, Noma Dumezweni, Art Malik",N/A
The Marvels,10-12-PG,1h 45min,10 November 2023,"Action, Adventure, Science Fiction, Superhero",* Terms and Conditions Apply,Nia DaCosta,"Brie Larson, Teyonah Parris, Iman Vellani, Samuel L. Jackson, Zawe Ashton, Seo-Jun Park",N/A
The Nutcracker and the Four Realms,7-9PG,1h 39min,02 November 2018,"Adventure, Family, Fantasy",* Terms and Conditions Apply,"Lasse Hallström, Joe Johnston","Keira Knightley, Mackenzie Foy, Eugenio Derbez, Jayden Fowora-Knight, Matthew Macfadyen, Richard E. Grant, Sergei Polunin, Misty Copeland, Helen Mirren, Morgan Freeman",N/A
Thor: Love and Thunder,,1h 59min,08 July 2022,"Action-Adventure, Comedy, Fantasy, Romance, Superhero",* Terms and Conditions Apply,Taika Waititi,"Chris Hemsworth, Christian Bale, Tessa Thompson, Taika Waititi, Natalie Portman",N/A
Toy Story 4,1h 40min,"Adventure, Animation, Comedy, Kids & Family",N/A,N/A,* Terms and Conditions Apply,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key, Madeleine McGraw, Christina Hendricks, Jordan Peele, Keanu Reeves, Ally Maki, Jay Hernandez, Lori Alan, Joan Cusack, Bonnie Hunt, Kristen Schaal, Emily Davis, Wallace Shawn, John Ratzenberger, Blake Clark, June Squibb",N/A
Turning Red,,11 March 2022,"Animation, Kids & Family",N/A,* Terms and Conditions Apply,Domee Shi,"Rosalie Chiang, Sandra Oh",N/A
Mulan (2020),10-12-PG,1h 55min,29 September 2020,"Action, Adventure, Drama",10-12-PG,Niki Caro,"Yifei Liu, Donnie Yen, Gong Li, Jet Li, Yoson An, Tzi Ma, Rosalind Chao, Cheng Pei Pei, Xana Tang, Ron Yuan, Jun Yu, Chen Tang, Doua Moua, Jimmy Wong, Nelson Lee, Hoon Lee, Crystal Rao, Elena Askin, Vincent Feng, RJ O’Young",N/A
Ron’s Gone Wrong,,1h 46min,22 October 2021,"Animation, Comedy",,"Sarah Smith, Jean-Philippe Vine","Zach Galifianakis, Jack Dylan Grazer, Ed Helms, Justice Smith, Rob Delaney, Kylie Cantrall, Ricardo Hurtado, Olivia Colman",N/A
Snow White,"Fantasy, Live Action, Musical",N/A,N/A,N/A,"Fantasy, Live Action, Musical",Marc Webb,"Rachel Zegler, Andrew Burnap, Gal Gadot",N/A
